team,w,l,t,pct_total,pf,pa,net pts,home,road,div,pct_div,conf,pct_conf,non-conf,strk,last_five,year
Bills,6,10,0,0.375,243,279,-36,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,3L,2 - 3 - 0,2003
Jets,6,10,0,0.375,283,299,-16,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,6 - 6 - 0,0.500,0 - 4 - 0,2L,2 - 3 - 0,2003
Dolphins,10,6,0,0.625,311,261,50,4 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,2W,3 - 2 - 0,2003
Patriots,14,2,0,0.875,348,238,110,8 - 0 - 0,6 - 2 - 0,5 - 1 - 0,0.833,11 - 1 - 0,0.917,3 - 1 - 0,12W,5 - 0 - 0,2003
49ers,2,14,0,0.125,259,452,-193,1 - 7 - 0,1 - 7 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,0 - 4 - 0,3L,1 - 4 - 0,2004
Cardinals,6,10,0,0.375,284,322,-38,5 - 3 - 0,1 - 7 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,1W,2 - 3 - 0,2004
Rams,8,8,0,0.500,319,392,-73,6 - 2 - 0,2 - 6 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,2W,3 - 2 - 0,2004
Seahawks,9,7,0,0.563,371,373,-2,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,1 - 3 - 0,2W,3 - 2 - 0,2004
Bears,5,11,0,0.313,231,331,-100,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,4L,1 - 4 - 0,2004
Lions,6,10,0,0.375,296,350,-54,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,1L,2 - 3 - 0,2004
Vikings,8,8,0,0.500,405,395,10,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,2L,1 - 4 - 0,2004
Packers,10,6,0,0.625,424,380,44,4 - 4 - 0,6 - 2 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,1 - 3 - 0,2W,3 - 2 - 0,2004
Buccaneers,5,11,0,0.313,301,304,-3,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,4L,1 - 4 - 0,2004
Panthers,7,9,0,0.438,355,339,16,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,1L,3 - 2 - 0,2004
Saints,8,8,0,0.500,348,405,-57,3 - 5 - 0,5 - 3 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,4W,4 - 1 - 0,2004
Falcons,11,5,0,0.688,340,337,3,7 - 1 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,2L,2 - 3 - 0,2004
Cowboys,6,10,0,0.375,293,405,-112,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,1L,2 - 3 - 0,2004
Giants,6,10,0,0.375,303,347,-44,3 - 5 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,1 - 3 - 0,1W,1 - 4 - 0,2004
Washington,6,10,0,0.375,240,265,-25,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.167,6 - 6 - 0,0.500,0 - 4 - 0,1W,3 - 2 - 0,2004
Eagles,13,3,0,0.813,386,260,126,7 - 1 - 0,6 - 2 - 0,6 - 0 - 0,1.000,11 - 1 - 0,0.917,2 - 2 - 0,2L,3 - 2 - 0,2004
Dolphins,4,12,0,0.250,275,354,-79,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,2 - 2 - 0,1L,2 - 3 - 0,2004
Bills,9,7,0,0.563,395,284,111,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,4 - 0 - 0,1L,4 - 1 - 0,2004
Jets,10,6,0,0.625,333,261,72,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,2L,2 - 3 - 0,2004
